Airline_Name,Max_Early_Departure_Minutes
"Allegiant Air: G4",-53
"Southwest Airlines Co.: WN",-48
"Spirit Air Lines: NK",-47
"Alaska Airlines Inc.: AS",-46
"SkyWest Airlines Inc.: OO",-42
"Republic Airline: YX",-32
"Frontier Airlines Inc.: F9",-31
"Envoy Air: MQ",-28
"Hawaiian Airlines Inc.: HA",-27
"Mesa Airlines Inc.: YV",-27
"ExpressJet Airlines LLC: EV",-27
"JetBlue Airways: B6",-26
"PSA Airlines Inc.: OH",-26
"Endeavor Air Inc.: 9E",-26
"American Airlines Inc.: AA",-26
"Delta Air Lines Inc.: DL",-24
"United Air Lines Inc.: UA",-21
